Text,Bounding Box,Confidence
ciselsan | MIRSAD,"[[42, 36], [202, 36], [202, 66], [42, 66]]",0.35242921421848566
r &,"[[209, 89], [243, 89], [243, 105], [209, 105]]",0.4096139669418335
#jio,"[[29, 111], [75, 111], [75, 125], [29, 125]]",0.041067469865083694
Tsie,"[[45, 127], [89, 127], [89, 139], [45, 139]]",0.018059367313981056
ö4t,"[[77, 139], [101, 139], [101, 153], [77, 153]]",0.020227353700963537
~dre,"[[107, 239], [131, 239], [131, 253], [107, 253]]",0.011599080637097359
Karancr12,"[[47, 253], [99, 253], [99, 267], [47, 267]]",0.022984518145424602
mar,"[[71, 269], [93, 269], [93, 281], [71, 281]]",0.21329284576498272
2adi,"[[64, 312], [94, 312], [94, 320], [64, 320]]",0.037956301122903824
{1gf,"[[69, 339], [93, 339], [93, 351], [69, 351]]",0.17518411576747894
4ArIİLiR?t,"[[47, 351], [105, 351], [105, 367], [47, 367]]",0.005397089017238496
Vap,"[[64, 368], [94, 368], [94, 376], [64, 376]]",0.04645841416868246
Feond,"[[23, 428], [73, 428], [73, 443], [23, 443]]",0.06500933950168684
0229290,"[[157, 429], [205, 429], [205, 443], [157, 443]]",0.17615247431365486
ElkMad,"[[23, 439], [59, 439], [59, 453], [23, 453]]",0.07191201272011528
Pody,"[[34, 464], [72, 464], [72, 472], [34, 472]]",0.010186001658439636
28-32-38,"[[165, 463], [205, 463], [205, 475], [165, 475]]",0.37338193805008596
Uoaprbtaaki,"[[22, 474], [108, 474], [108, 482], [22, 482]]",0.0016570748025716965
.28-95*21,"[[162, 472], [201, 472], [201, 486], [162, 486]]",0.21107715609298902
4u1112,"[[33, 497], [105, 497], [105, 511], [33, 511]]",0.017058241556453777
"038-32,99 $","[[155, 495], [223, 495], [223, 515], [155, 515]]",0.02677740476502296
lsn22 Tmmani,"[[23, 507], [83, 507], [83, 519], [23, 519]]",0.03060987167151023
28-40.0,"[[165, 507], [205, 507], [205, 519], [165, 519]]",0.18079497097577277
Tuptti,"[[53, 529], [89, 529], [89, 543], [53, 543]]",0.07187484697046452
233198',"[[165, 529], [205, 529], [205, 543], [165, 543]]",0.190979187874446
1n8el,"[[22, 542], [44, 542], [44, 550], [22, 550]]",0.07207710416243729
Pap,"[[40, 564], [72, 564], [72, 572], [40, 572]]",0.008421989053639119
şOphelsoc {TloBCDRZYZ;,"[[23, 573], [135, 573], [135, 585], [23, 585]]",0.008330830051708121
232*8,"[[162, 558], [206, 558], [206, 586], [162, 586]]",0.5149368323472233
Ccd2,"[[21, 631], [61, 631], [61, 643], [21, 643]]",0.022717325016856194
YElkaa,"[[166, 632], [202, 632], [202, 640], [166, 640]]",0.010568830401993955
Meina Ila Kuz,"[[21, 639], [83, 639], [83, 653], [21, 653]]",0.18327604259240476
23-40*00,"[[165, 639], [203, 639], [203, 651], [165, 651]]",0.07275370419232648
"H0""12","[[47, 663], [105, 663], [105, 675], [47, 675]]",0.02444488181810722
"2342,96","[[165, 663], [205, 663], [205, 675], [165, 675]]",0.2569861222187925
4nn,"[[166, 674], [202, 674], [202, 680], [166, 680]]",0.16416448459849056
Islem Ysp,"[[85, 689], [133, 689], [133, 703], [85, 703]]",0.6424511510218848
1a5 ~,"[[198, 690], [220, 690], [220, 698], [198, 698]]",0.3711701232414819
