Text,Bounding Box,Confidence
Jesh Zamnan,"[[1113, 565], [1181, 565], [1181, 577], [1113, 577]]",0.19776501025322807
1112l1 ],"[[1194, 566], [1246, 566], [1246, 574], [1194, 574]]",0.00563170129601535
Supheli Arac ITRYoGCDR212,"[[21, 573], [133, 573], [133, 585], [21, 585]]",0.0803587814529759
DistheeMot2,"[[22, 598], [102, 598], [102, 606], [22, 606]]",0.013707315997435982
2252,"[[166, 598], [202, 598], [202, 606], [166, 606]]",0.20852012932300568
Tanimlaniamavan Uvan,"[[24, 608], [110, 608], [110, 616], [24, 616]]",0.2058297213831391
ZOCC,"[[178, 608], [202, 608], [202, 616], [178, 616]]",0.124244824051857
SGMIN3 %e,"[[18, 628], [62, 628], [62, 654], [18, 654]]",0.08475157882818608
"23 40,09","[[164, 624], [206, 624], [206, 652], [164, 652]]",0.12963605518577104
Uldas,"[[21, 653], [51, 653], [51, 665], [21, 665]]",0.09523777113669489
nalz,"[[61, 655], [97, 655], [97, 667], [61, 667]]",0.48127803206443787
2332*38 @,"[[165, 655], [213, 655], [213, 675], [165, 675]]",0.38714249835854475
eda9,"[[22, 664], [48, 664], [48, 672], [22, 672]]",0.157239630818367
(anal?1,"[[62, 664], [104, 664], [104, 672], [62, 672]]",0.10436544493425713
99ora,"[[166, 674], [202, 674], [202, 680], [166, 680]]",0.0634138013275374
Islem Yap,"[[87, 679], [133, 679], [133, 693], [87, 693]]",0.9599894755032089
Krmaudoa,"[[427, 681], [485, 681], [485, 699], [427, 699]]",0.1977966173846573
siem,"[[88, 692], [112, 692], [112, 700], [88, 700]]",0.4385910928249359
Bolame,"[[534, 712], [568, 712], [568, 720], [534, 720]]",0.14991033826903505
Tokiava Gtt,"[[625, 707], [683, 707], [683, 723], [625, 723]]",0.0738750352627059
023 6 <,"[[742, 712], [772, 712], [772, 720], [742, 720]]",0.0820950653107525
Suiu,"[[1256, 710], [1288, 710], [1288, 718], [1256, 718]]",0.04749029874801636
Enlerm,"[[445, 711], [477, 711], [477, 731], [445, 731]]",0.4110185967402721
6584 Ccirall al,"[[1099, 713], [1161, 713], [1161, 731], [1099, 731]]",0.20498339903064697
00,"[[3.3273272060036874, -0.7399400733959437], [26.991600411186223, 3.870660815932232], [25.672672793996313, 11.739940073395944], [2.008399588813778, 7.129339184067768]]",0.026091234106897114
Gallie,"[[307.3902892391503, 485.2073760108954], [346.9918816646859, 489.87283568401466], [345.6097107608497, 499.7926239891046], [306.0081183353141, 495.12716431598534]]",0.025829153969305987
Alarm,"[[279.35981560033554, 496.23177872040264], [308.9720822085733, 499.7653594668961], [307.64018439966446, 509.76822127959736], [278.0279177914267, 507.2346405331039]]",0.6180281008471371
