Text,Bounding Box,Confidence
Caselsan | MIHSAD,"[[38, 40], [204, 40], [204, 66], [38, 66]]",0.6814835305653999
K IhA,"[[31, 113], [61, 113], [61, 125], [31, 125]]",0.11604209755783747
seil;,"[[62, 128], [84, 128], [84, 136], [62, 136]]",0.09125376589806744
Serrs,"[[78, 142], [100, 142], [100, 150], [78, 150]]",0.08967306542272166
Zany?,"[[104, 144], [132, 144], [132, 150], [104, 150]]",0.034712422694011036
odhy,"[[62, 186], [90, 186], [90, 192], [62, 192]]",0.029366763308644295
8dh,"[[62, 214], [86, 214], [86, 220], [62, 220]]",0.05200595294275233
Filr Ekinies,"[[48, 228], [92, 228], [92, 236], [48, 236]]",0.08803307281440274
Flli_Ekinoks,"[[62, 242], [108, 242], [108, 250], [62, 250]]",0.32252795582354454
ariere,"[[112, 242], [142, 242], [142, 250], [112, 250]]",0.383666471670388
KArukol,"[[46, 256], [84, 256], [84, 264], [46, 264]]",0.1086411507837682
KaMera <,"[[62, 270], [100, 270], [100, 278], [62, 278]]",0.24513298983631762
Fadar,"[[62, 284], [86, 284], [86, 292], [62, 292]]",0.7343618545846127
YaTröz 12,"[[63, 297], [109, 297], [109, 309], [63, 309]]",0.28674292677234414
PiR Kapi,"[[63, 311], [97, 311], [97, 323], [63, 323]]",0.7062211717812529
Çevrirndısı {40),"[[25, 339], [97, 339], [97, 351], [25, 351]]",0.2913265407562728
Hini 461,"[[48, 356], [102, 356], [102, 362], [48, 362]]",0.041635437470757035
Jauin,"[[62, 370], [88, 370], [88, 376], [62, 376]]",0.018051480461389564
FN Eurrok8,"[[23, 431], [73, 431], [73, 443], [23, 443]]",0.04619915276995633
Kanora,"[[76, 432], [108, 432], [108, 440], [76, 440]]",0.10712699313070526
023.32.3,"[[156, 428], [199, 428], [199, 442], [156, 442]]",0.37646347078033243
elib *a21,"[[24, 442], [56, 442], [56, 450], [24, 450]]",0.08371727377865969
Yema8z 012,"[[22, 462], [75, 462], [75, 476], [22, 476]]",0.333270736162142
23-32*3a,"[[165, 463], [205, 463], [205, 475], [165, 475]]",0.14093847412007957
Jnraey Jece kili,"[[22, 476], [106, 476], [106, 482], [22, 482]]",0.00206055929783465
ess,"[[166, 476], [200, 476], [200, 482], [166, 482]]",0.048735811263068196
MEda 34 (Kana12},"[[21, 497], [105, 497], [105, 509], [21, 509]]",0.1421228951694653
1121852*92,"[[158, 498], [202, 498], [202, 506], [158, 506]]",0.08635378127571156
Izinsz,"[[22, 508], [46, 508], [46, 516], [22, 516]]",0.3675906665323482
Tırranis,"[[50, 508], [82, 508], [82, 516], [50, 516]]",0.2003334598262872
40108 &,"[[177, 499], [223, 499], [223, 519], [177, 519]]",0.041379910868621854
Kanunuepn1,"[[22, 532], [86, 532], [86, 540], [22, 540]]",0.03723421665464249
23f17-36,"[[168, 530], [202, 530], [202, 538], [168, 538]]",0.037368427938596425
Ingan,"[[22, 542], [44, 542], [44, 550], [22, 550]]",0.8648905575492896
Yem98z 012,"[[23, 563], [73, 563], [73, 575], [23, 575]]",0.2567240344603729
23-32-3a,"[[165, 563], [205, 563], [205, 575], [165, 575]]",0.16650134660917118
Sopheli Arat ITRYDaCDRzt,"[[21, 573], [125, 573], [125, 585], [21, 585]]",0.0580383397655133
7essa,"[[166, 576], [200, 576], [200, 582], [166, 582]]",0.017399093703937624
5dadz,"[[22, 598], [102, 598], [102, 606], [22, 606]]",0.018511763000182244
"2222,98","[[166, 598], [202, 598], [202, 606], [166, 606]]",0.1859985494259221
Tanmlanamajon U,"[[23, 607], [113, 607], [113, 619], [23, 619]]",0.0663655299842979
22-4000,"[[165, 607], [205, 607], [205, 619], [165, 619]]",0.31868730902681297
CcTv1?,"[[21, 629], [61, 629], [61, 643], [21, 643]]",0.1410912006042402
Hakinb,"[[22, 642], [52, 642], [52, 650], [22, 650]]",0.20066107264689026
J9ekoke,"[[166, 642], [202, 642], [202, 648], [166, 648]]",0.004947780459249004
Mia8e 94 (Kenoi12),"[[21, 663], [105, 663], [105, 675], [21, 675]]",0.01886837598775141
23-32*38,"[[165, 663], [205, 663], [205, 675], [165, 675]]",0.39962691538949585
Jan,"[[166, 674], [202, 674], [202, 680], [166, 680]]",0.13070428598334496
"Ae ""n","[[88, 690], [130, 690], [130, 698], [88, 698]]",0.001299287460305523
